Source,ColA,ColB,ColC,ColD,ColE,ColF,ColG,ColH
Product SKU list-2026,T0222250MB3125I,7T0222-250.MB3125I,Aluminum 90 2 Leg Inside Corner Black,ASHS - Schluter,,,,
Product SKU list-2026,ACRYLIC CEILING PANELS & TAPE,,,,ACRYLIC CEILING PANELS & TAPE,,,
Product SKU list-2026,7U0000220WH4762,7U0000-220.WH4762N,Acrylic Ceiling Panel White,ASHS,,,,
Product SKU list-2026,7U0001220LN4762,7U0001-220.LN4762N,Acrylic Ceiling Panel Linen,ASHS,,,,
Product SKU list-2026,7U0004220RS4762,7U0004-220.RS4762N,Acrylic Ceiling Panel Roman Stone,ASHS,,,,
Product SKU list-2026,7U0005220SV4762,7U0005-220.SV4762N,Acrylic Ceiling Panel Silver Vein,ASHS,,,,
Product SKU list-2026,7U0008220VM4762,7U0008-220.VM4762N,Acrylic Ceiling Panel Vienna Mist,ASHS,,,,
Product SKU list-2026,7A1000268NA0240,7A1000-268.NA0240N,Black Butyl Tape Rolls,ASHS,,,,
Product SKU list-2026,ACRYLIC WALLS & TRIM,,,,,,,
Product SKU list-2026,ACRYLIC SMOOTH WALLS,,,,,,,
Product SKU list-2026,W0012221RS6298C,7W0012-221.RS6298C,"60"" x 96"" Flat Acrylic Wall Roman Stone",ASHS,,,,
Product SKU list-2026,W0013221SV6298C,7W0013-221.SV6298C,"60"" x 96"" Flat Acrylic Wall Silver Vein",ASHS,,,,
Product SKU list-2026,W0014221TS6298C,7W0014-221.TS6298C,"60"" x 96"" Flat Acrylic Wall Tibur Stone",ASHS,,,,
Product SKU list-2026,ACRYTILE WALLS,,,,,,,
Product SKU list-2026,W2001235WH6298C,7W2001-235.WH6298C,"60"" x 96"" Acrytile Wall Subway White",ASHS,,,,
Product SKU list-2026,ACRYLIC TRIM,,,,,,,
Product SKU list-2026,7T2000221WH0398,7T2000-221.WH0398N,Batten Strip 3X98 - Arctic White,ASHS,,,,
Product SKU list-2026,7T2003221RS0398,7T2003-221.RS0398N,Batten Strip 3x98 - Roman Stone,ASHS,,,,
Product SKU list-2026,7T2004221LN0398,7T2004-221.LN0398N,Batten Strip 3X98 - Sahara Creme,ASHS,,,,
Product SKU list-2026,7T2005221SV0398,7T2005-221.SV0398N,Batten Strip 3x98 - Silver Vein,ASHS,,,,
Product SKU list-2026,7T2006221TS0398,7T2006-221.TS0398N,Batten Strip 3x98 - Tibur Stone,ASHS,,,,
Product SKU list-2026,7T2008221VM0398,7T2008-221.VM0398N,Batten Strip 3x98 - Vienna Mist,1 in stock as of 10/20. Out of stock until  early Dec 2025,,,,
Product SKU list-2026,T5000220WH0298O,7T5000-220.WH0298O,Outside Corner Trim 98 - Arctic White,ASHS,,,,
Product SKU list-2026,T5003220RS0298O,7T5003-220.RS0298O,Outside Corner Trim 98 - Roman Stone,ASHS,,,,
Product SKU list-2026,T5004220LN0298O,7T5004-220.LN0298O,Outside Corner Trim 98 - Linen,ASHS,,,,
Product SKU list-2026,T5005220SV0298O,7T5005-220.SV0298O,Outside Corner Trim 98 - Silver Vein,ASHS,,,,
Product SKU list-2026,T5006220TS0298O,7T5006-220.TS0298O,Outside Corner Trim 98 - Tibur Stone,ASHS,,,,
Product SKU list-2026,T5008220VM0298O,7T5008-220.VM0298O,Outside Corner Trim 98 - Vienna Mist,ASHS,,,,
Product SKU list-2026,SOLID SURFACE WALLS & TRIM,,,,,,,
Product SKU list-2026,LEGACY SUBWAY WALLS,,,,,,,
Product SKU list-2026,7W4100245GB6096,7W4100-245.GB6096N,SS Back Wall 60x96 Grey Garden Subway,Trumbull,,,,
Product SKU list-2026,7W4103245WV6096,7W4103-245.WV6096N,SS Back Wall 60x96 White Reef Subway,Trumbull,,29423000,,
Product SKU list-2026,7W4106245BM6096,7W4106-245.BM6096N,SS Back Wall 60x96 Bitusa Marble Subway,Trumbull,,,,
Product SKU list-2026,RESERVE WALLS,,,,,,,
Product SKU list-2026,7W4200241BA6096,7W4200-241.BA6096N,SS Back Wall 60x96 Camden,Trumbull,,,,
Product SKU list-2026,7W4203241SR6096,7W4203-241.SR6096N,SS Back Wall 60x96 Serenade,Trumbull,,,,
Product SKU list-2026,7W4206241BO6096,7W4206-241.BO6096N,SS Back Wall 60x96 Thunder Oak,Trumbull,,,,
Product SKU list-2026,LEGACY SMOOTH WALLS,,,,,,,
Product SKU list-2026,7W4215241GG6096,7W4215-241.GG6096V,"60"" wall panel - Grey Garden Smooth",Trumbull,,,,
Product SKU list-2026,7W4218241WR6096,7W4218-241.WR6096V,"60"" wall panel - White Reef Smooth",Trumbull,,,,
Product SKU list-2026,7W4221241BM6096,7W4221-241.BM6096V,"60"" wall panel - Bitusa Marble Smooth",Trumbull,,,,
Product SKU list-2026,SOLID SURFACE WHITE WALL,,,,,,,
Product SKU list-2026,7W4702245WH3696,7W4702-245.WH3696N,"SOLID SURFACE SUBWAY WALL 36"" X 96""",2,,,,
Product SKU list-2026,,7T3211-240.WH4848N,"48"" Window Trim Kit 1001 WH",Make sure to use this item for Legacy white SS walls,,,,
Product SKU list-2026,,7T7111-240.WH6036N,Pencil Trim Kit 1001 White,Trumbull,,,,
Product SKU list-2026,,7T5711-240.WH0298N,Edge Trim 1001 White,Trumbull,,,,
Product SKU list-2026,,7T5511-240.WH0296N,Outside Corner Molding 1001 WH,Trumbull,,,,
Product SKU list-2026,,7C6011-240.WH0808N,SS Corner Shelf 1001 White,Trumbull,,,,
Product SKU list-2026,,7T5611-240.WH0296N,Over-tile trim 1001 WH,Trumbull,,,,
Product SKU list-2026,,7T2211-240.WH0296N,Batten Molding 1001 WH,Trumbull,,,,
Product SKU list-2026,SOLID SURFACE PENCIL TRIM,,,,,,,
Product SKU list-2026,7T7000340GB6036,7T7000-340.GB6036N,Pencil Trim Kit - Grey Garden,Trumbull,,,,
Product SKU list-2026,7T7001340WR6036,7T7001-340.WR6036N,Pencil Trim Kit - White Reef,Trumbull,,,,
Product SKU list-2026,7T7002340BM6036,7T7002-340.BM6036N,Pencil Trim Kit - Bitusa Marble,Trumbull,,,,
Product SKU list-2026,7T7009340CE6036,7T7009-340.CE6036N,Pencil Trim Kit- Cameo,Trumbull,,,,
Product SKU list-2026,T7010340WH6036N,7T7010-340.WH6036N,"Pencil Trim Kit 60"" White",Trumbull,,,,
Product SKU list-2026,SOLID SURFACE TRIM,,,,,,,
Product SKU list-2026,T5500240WH0296O,7T5500-240.WH0296O,Outside Corner Molding WH,Trumbull,,,,
Product SKU list-2026,T5502240CE0296O,7T5502-240.CE0296O,Outside Corner Molding Cameo,Trumbull,,,,
Product SKU list-2026,T5503240GG0296O,7T5503-240.GG0296O,Outside Corner Molding Grey Beach,Trumbull,,,,
Product SKU list-2026,T5504240WR0296O,7T5504-240.WR0296O,Outside Corner Molding White Venito,Trumbull,,,,
Product SKU list-2026,T5505240BM0296O,7T5505-240.BM0296O,Outside Corner Molding Biscotti Marble,Trumbull,,,,
Product SKU list-2026,7T5700240WH0298,7T5700-240.WH0298O,Edge Trim White,Trumbull,,,,
Product SKU list-2026,7T5701240GG0298,7T5701-240.GG0298O,Edge Trim Grey Garden,Trumbull,,,,
Product SKU list-2026,7T5702240CE0298,7T5702-240.CE0298O,Edge Trim Cameo,Trumbull,,,,
Product SKU list-2026,7T5707240WR0298,7T5707-240.WR0298O,Edge Trim White Reef,Trumbull,,,,
Product SKU list-2026,7T5708240BM0298,7T5708-240.BM0298O,Edge Trim Bitusa Marble,Trumbull,,,,
Product SKU list-2026,7T2200240WH0296,7T2200-240.WH0296N,Batten Molding White,Trumbull,,,,
Product SKU list-2026,7T2201240BC0296,7T2201-240.BC0296N,Batten Molding Biscuit,Trumbull,,,,
Product SKU list-2026,7T2202240CE0296,7T2202-240.CE0296N,Batten Molding Cameo,Trumbull,,,7500,
Product SKU list-2026,7T2203240GG0296,7T2203-240.GG0296N,Batten Molding Grey Garden,Trumbull,,,5069,
Product SKU list-2026,7T2204240WR0296,7T2204-240.WR0296N,Batten Molding White Reef,Trumbull,,,,
Product SKU list-2026,7T2205240BM0296,7T2205-240.BM0296N,Batten Molding Biscotti Marble,Trumbull,,,,
Product SKU list-2026,T5600240WH0296O,7T5600-240.WH0296O,Over-tile trim White,Trumbull,,,,
Product SKU list-2026,T5602240CE0296O,7T5602-240.CE0296O,Over-tile trim Cameo,Trumbull,,,,
Product SKU list-2026,T5603240GG0296O,7T5603-240.GG0296O,Over-tile trim Grey Beach,Trumbull,,,,
Product SKU list-2026,T5604240WR0296O,7T5604-240.WR0296O,Over-tile trim White Venito,Trumbull,,,,
Product SKU list-2026,T5605240BM0296O,7T5605-240.BM0296O,Over-tile trim Biscotti Marble,Trumbull,,,,
Product SKU list-2026,SOLID SURFACE WINDOW KITS,,,,,,,
Product SKU list-2026,7T3200240WH4848,7T3200-240.WH4848N,"48"" Window Trim Kit White",NEVER USE THIS WITH WHITE SOLID SURACE WALLS (See Line 544),,,,
Product SKU list-2026,7T3204240BM4848,7T3204-240.BM4848N,"48"" Window Trim Kit Bitusa Marble",Trumbull,,,,
Product SKU list-2026,7T3210299NA9999,7T3210-299.NA9999N,WINDOW KIT CUSTOM,,,,,
Product SKU list-2026,MOMENT WALL & TRIM,,,,,,,
Product SKU list-2026,MOMENT WALLS,,,,,,,
Product SKU list-2026,MOMENT WINDOW KITS,,,,,,,
Product SKU list-2026,T3300241WH0854N,7T3300-241.WH0854N,Window Sill White,ASHS,,,,
Product SKU list-2026,T3301241LN0854N,7T3301-241.LN0854N,Window Sill Linen,ASHS,,,,
Product SKU list-2026,"MOMENT TRIM- NOTE ONLY 90"" IN LENGTH",,,,,,,
Product SKU list-2026,T5800250ES0294O,7T5800-250.ES0294O,Empire Stone J Trim,ASHS - ACP,,,,
Product SKU list-2026,T5801250CO0294O,7T5801-250.CO0294O,Colosseum J Trim,ASHS - ACP,,,,
Product SKU list-2026,T5802250PM0294O,7T5802-250.PM0294O,Pisa Marble J Trim,ASHS - ACP,,,,
Product SKU list-2026,T5803250MH0294O,7T5803-250.MH0294O,Mining House J Trim,ASHS - ACP,,,,
Product SKU list-2026,T5804250ES0294O,1021 Groves Pass SE,Empire Stone L Trim,ASHS - ACP,,,,
Product SKU list-2026,T5805250CO0294O,7T5805-250.CO0294O,Colosseum L Trim,ASHS - ACP,,,,
Product SKU list-2026,T5806250PM0294O,7T5806-250.PM0294O,Pisa Marble L Trim,ASHS - ACP,,,,
Product SKU list-2026,T5807250MH0294O,7T5807-250.MH0294O,Mining House L Trim,ASHS - ACP,,,,
Product SKU list-2026,SILICONE/ADHESIVE/CORNER REINFORCEMENT,,,,SILICONE/ADHESIVE/CORNER REINFORCEMENT,,,
Product SKU list-2026,SILICONE,,,,WALL COLOR,SILICONE COLOR,,
Product SKU list-2026,7X0003270WH0012,7X0003-270.WH0012N,TRANS WHITE- SILICONE,ASHS - Silco,WHITE,WHITE,,
Product SKU list-2026,7X0004270TG0012,7X0004-270.TG0012N,Silicone GR Trans Gray,ASHS - Silco,LINEN,LINEN,,
Product SKU list-2026,7X1000260WH0012,7X1000-260.WH0012N,Silicone White,ASHS - Silco,ROMAN STONE,ROMAN STONE,,
Product SKU list-2026,7X1002260RS0012,7X1002-260.RS0012N,Silicone Roman Stone,ASHS - Silco,SILVER VEIN,OPAQUE GREY,,
Product SKU list-2026,7X1004260TS0012,7X1004-260.TS0012N,Silicone Linen,ASHS - Silco,VIENNA MIST,TRANS GREY,,
Product SKU list-2026,7X1005270CL0010,7X1005-270.CL0010N,Clear Silicone,ASHS - Silco,TIBERSTONE,LINEN,,
Product SKU list-2026,7X1006OG0012,7X1006-OG0012N,Silicone Mrbl  Opaque Grey,ASHS - Silco,WHITE REEF,WHITE,,
Product SKU list-2026,ADHESIVE,,,,BITUSA MARBLE,LINEN,,
Product SKU list-2026,7A0001260CL0020,7A0001-260.CL0020N,Sausage Adhesive,ASHS - Silco,GREY GARDEN,OPAQUE GREY,,
Product SKU list-2026,CORNER REINFORCEMENTS,,,,THUNDER OAK,TRANS GREY,,
Product SKU list-2026,7N0100-0296I,7N0100-0296I,Corner Reinforcements,?,SERENDAE,LINEN,,
Product SKU list-2026,TRIM KITS/ROUGH IN/HANDSHOWERS,,,,CAMDEN,TRANS WHITE,,
Product SKU list-2026,TRIM KITS,,,,PISA MARBLE,TRANS WHITE,,
Product SKU list-2026,TU018508.002,TU018508.002,EDGEMERE TRIM KIT- CHROME,Townsend in Brushed Nickel                         TU353508.295,,,,
Product SKU list-2026,TU018508.295,TU018508.295,EDGEMERE TRIM KIT-BN,,,,,
Product SKU list-2026,TU018508.243,TU018508.243,Edgemere Tub/ Shower - MB,,,,,
Product SKU list-2026,TU018508.278,TU018508.278,EDGEMERE TUB/SHOWER- LB,,,,,
Product SKU list-2026,ROUGH IN,,,,,,,
Product SKU list-2026,RU101,RU101,750SH VALVE ROUGH W UNIVERSAL,** Do Not Use **  Use the RU101SS,,,,
Product SKU list-2026,RU101SS,RU101SS,FLASH VALVE ROUGH W UNIVERSAL W SS,All BRL Jobs are to have the RU101SS,,,,
Product SKU list-2026,RU107SS,RU107SS,Flash Valve Rough - Pex Option,** Do Not Use **  Use the RU101SS,,,,
Product SKU list-2026,RU108SS,RU108SS,FLASH VALVE-COLD EXPANSIO,** Do Not Use **  Use the RU101SS,,,,
Product SKU list-2026,HAND SHOWERS,,,,,,,
Product SKU list-2026,REPAIR KITS,,,,,,,
Product SKU list-2026,7Y4000250WH0015,7Y4000-250.WH0015N,Enamel Repair Kit .011 White,,,,,
Product SKU list-2026,7Y4001250LN0015,7Y4001-250.LN0015N,Enamel Repair Kit .222 Linen,,,,,
Product SKU list-2026,0709000110A,070900-0110A,ENAMEL STEEL TOUCH-UP PAINT,,,,,
Product SKU list-2026,,,Custom Barn Style Shower Door: Basco,,,,,
Product SKU list-2026,ROLH-935-66X76XPWI,7G3102-299.MB6676N,"Rolaire Custom 62"" - 66"" MB",mto,,,,
Product SKU list-2026,ROLH-935-72X76XPWI,7G3103-299.CH7276N,"Rolaire Custom 68"" - 72"" CH",mto,,,,
Product SKU list-2026,ROLH-935-72X76XPPM,7G3105-299.MB7276N,"Rolaire Custom 68"" - 72"" MB",mto,,,,
Product SKU list-2026,RTLA-905-56X76XPOR,7G2603-290.LB5476N,"54"" Rotolo 52"" - 56"" LB",mts,2,,,
Product SKU list-2026,,,MTO=  Made  To Order,,,,,
Product SKU list-2026,,,Rolaire Barn Door= Single Bypass Panel with 1 stationary panel,,,,,
Product SKU list-2026,35117000,29423000,SB VALVE AND TRIM- IN CURRENT USE,,,,,
Product SKU list-2026,,7T3300-241.WH0854N,LEDGE CAP- WHITE,,,,,
Product SKU list-2026,ONYX,7M1002-249.NA9999N,LEDGE CAP,,,,,
Product SKU list-2026,ONYX,7T2300-241.WH0660N,BRL BACKSHELF- ACT- 60 X 8 X 5/8,FG,,,,
Product SKU list-2026,SUB_ProductID,OLD_ProductID,OLD_LongDescr,SUB_LongDescr,,,,
Product SKU list-2026,USE HIGHLIGHTED DATED 12-5,,,,,,,
Product SKU list-2026,TRIMMABLE BASE,,Trimslate Bases require an additional 6 tubes of adhesive,,,,,
Product SKU list-2026,7B5121-240.WH6736C,67X36 CENTER DRAIN TRIMMABLE WHITE,Stainless Steel Trench Drain,"4.25"" W x 25.5"" L",Center,"55""","67""","30"""
Product SKU list-2026,7B5124-240.WH6736N,67X36 END DRAIN TRIMMABLE WHITE,SMC Drain Cover,"4.625"" W x 7.75"" L",End,"55""","67""","30"""
Product SKU list-2026,7B5201-240.WH0460N,"60"" Threshold",,,,,,
Product SKU list-2026,7B5204-240.WH0480N,"80"" Threshold",,,,,,
Product SKU list-2026,7B5143-240.WH6048C,60X48 CENTER DRAIN TRIMMABLE WHITE,7B5143-240.WH6048C,"4.25"" W x 25.5"" L",Center,"54""","61""","44"""
Product SKU list-2026,,P41-0205 HW VALVE,,,,,,
Product SKU list-2026,,P41-0204 CW VALVE,,,,,,
Product SKU list-2026,,P41-0201 DIV VALVE ASSY,,,,,,
Product SKU list-2026,,P41-0328 TUB FILLER,,,,,,
Product SKU list-2026,,P41-0322 HAND SHWR HOSE ASSY,,,,,,
Product SKU list-2026,,P41-0320 HAND SHOWER,,,,,,
Product SKU list-2026,,P41-0338 HAND SHWR DECK MOUNT ASSY,,,,,,
Product SKU list-2026,,"Trimslate 60"" x 31 1/2"" LH",7B5100-240.WH6032L,,,,,
Product SKU list-2026,,"60"" THRESHOLD  WHITE",7B5201-240.WH0460N,,,,,
Product SKU list-2026,,Additional Trimslate Sizes at Trumbull:,,,,,,
Product SKU list-2026,,51 x 40 Center Drain,,,,,,
Product SKU list-2026,,60 x 40 Center Drain,,,,,,
Product SKU list-2026,,,MaxCost,,,,,
Product SKU list-2026,,,Max Cost,,,,,
Product SKU list-2026,,,,L- Bars Chrome,,,,
Product SKU list-2026,,,,L- Bars Stainless Steel,,,,
Product SKU list-2026,,,,L- Bars Matte Black,,,,
Product SKU list-2026,,,,Padded Seats,,,,
Product SKU list-2026,,,,Slide Bar,,,,
Product SKU list-2026,,,,Rough- In,,,,
Product SKU list-2026,FG,RU531,RU531,FLASH 2H W DIVERTER (3-WAY DISCRETE),,,,
Product SKU list-2026,,,,Faucet Trim Kit - Townsend,,,,
Product SKU list-2026,FG,1660245.002,1660245.002,TOWNSEND SHOWER ARM AND FLANGE,,,,
Product SKU list-2026,FG,1660245.295,1660245.295,TOWNSEND SHOWER ARM AND FLANGE,,,,
Product SKU list-2026,FG,1660245.243,1660245.243,TOWNSEND SHOWER ARM AND FLANGE,,,,
Product SKU list-2026,,,,Faucet Trim Kit - Studio,,,,
Product SKU list-2026,FG,1660240.002,1660240.002,"5"" Wall mount Showerhead arm",,,,
Product SKU list-2026,FG,1660240.243,1660240.243,"5"" Wall mount Showerhead arm",,,,
Product SKU list-2026,FG,1660240.295,1660240.295,"5"" Wall mount Showerhead arm",,,,
Product SKU list-2026,,,INSERT NEW PART NUMBERS BELOW,,,,,
Product SKU list-2026,7B5201-240.WH0460N,"60"" Threshold",,,,,,
Product SKU list-2026,7B5141-240.WH4836C,48X35-1/2 CNTR DRAIN TRIMMABLE WHITE,7B5141-240.WH4836C,,,,,
