SKU,Display Name,Product Name,Price,Feature Group,Manufacturer
G1114250BN3676N,7G1114-250.BN3676N,"Copa-900 Pvt Dr 36""x76""BN",,,ASHS - Basco
G1115250MB3676N,7G1115-250.MB3676N,"Copa-900 Pvt Dr 36""x76""MB",,,ASHS - Basco
G1123250LB3676N,7G1123-250.LB3676N,Copa-900 Pvt Dr 36x76ORB,,,
G1124250LB4276N,7G1124-250.LB4276N,"Fusion Pvt Dr 42""x74""ORB",,,Pivot Door with Panel
SHOWE3R BYPASS (SLIDER),,,,,
7G1700350CH4876,7G1700-350.CH4876N,44-48 in. W x 76 in. H Bypass CH Door,,,Effective 5/19/25 this door have been deleted  use  7G1304-250.CH4876N Door
7G1701350BN4876,7G1701-350.BN4876N,44-48 in. W x 76 in. H Bypass BN Door,,,Effective 5/19/25 this door have been deleted  use  7G1305-250.BN4876N Door
7G1702350LB4876,7G1702-350.LB4876N,44-48 in. W x 76 in. H Bypass ORB Door,,,Effective 5/19/25 this door has been deleted  use 7G1308-250.LB4876N Door
7G1703350MB4876,7G1703-350.MB4876N,44-48 in. W x 76 in. H Bypass MB Door,,,Effective 5/19/25 this door has been deleted.  Use 7G1307-250.MB4876N Door
7G1706350LB5476,7G1706-350.LB5476N,50-54 in. W x 76 in. H Bypass ORB Door,,,
G1308250LB4876O,7G1308-250.LB4876N,Celesta BypsShwr 48x76ORB,,,
G1308250LB6076N,7G1308-250.LB6076N,Celesta BypsShwr 60x76ORB,,,
G1310250BN6076N,7G1310-250.BN6076N,Celesta Byps Shwr 60x76BN-SILK,,,"Bypass Door w/ silk Glass 60"" BN"
G1312250LB6076N,7G1312-250.LB6076N,Celesta BypsShwr 60x76ORB-SILK,,,"Bypass Door w/ silk Glass 60""  ORB"
G1316250LB4876N,7G1316-250.LB4876N,Celesta BypsShwr 48x76ORB-SILK,,,"Bypass Door w/ silk Glass 48"" ORB"
BARN DOORS,,,,,
G2110250LB6076N,7G2110-250.LB6076N,"Rotolo Door 60"" x 76"" ORB",,,Basco
G2111250LB4876N,7G2111-250.LB4876N,"Rotolo Door 48"" x 76"" ORB",,,Basco
SHDR61607620-06,7G2302-250.LB6076N,Barn Door 56-60 Oil Rubbed Bronze,,,Basco
SHDR61487620-06,7G2306-250.LB4876N,Barn Door 44-48 Oil Rubbed Bronze,,,Basco
G2502350MB4876N,7G2502-350.MB4876N,Essence-H 44-48 in Barn MB,,,Basco
OVERSIZED DOORS,,,,,
ROLH-935-66X76XPWI,7G3102-299.MB6676N,"Rolaire Custom 62"" - 66"" MB",,,Basco
ROLH-935-72X76XPWI,7G3103-299.CH7276N,"Rolaire Custom 68"" - 72"" CH",,,Basco
ROLH-935-72X76XPPM,7G3105-299.MB7276N,"Rolaire Custom 68"" - 72"" MB",,,Basco
RTLA-905-56X76XPOR,7G2603-290.LB5476N,"54"" Rotolo 52"" - 56"" LB",,,Basco
NEO-ANGLE DOORS,,,,,
PALLETS,,,,,
7PK-AFRAMEAC,7PK-AFRAMEAC,A-FRAME ACRYLIC TO DC,,,ASHS
7PK-AFRAMESS,7PK-AFRAMESS,A-FRAME SOLID SURFACE TO DC,,,ASHS
7PKP5936,7PK-P5936,5936 Pallet-MOMENT ONLY,,,ASHS
SAFETY BARS,,,,,
7R1012250LB0024,7R1012-250.LB0024N,Townsend Grab Bars MB,,,ASHS - Seachrome
SEATS,,,,,
SLIMLINE SEATS,,,,,
COMFORT PLUS SEAT,,,,,
KERDI KITS & TRIM,,,,,
KERDI WALLS,,,,,
N0005350NA3923N,7N0005-350.NA3923N,Kerdi Membrane Kit Tub,,,ASHS - Schluter
7N0007-250.NA48,7N0007-250.NA4864N,Kerdi Board Pnl 48x64x1/2,,,ASHS - Schluter
N0006250NA4832N,7N0006-250.NA4832N,"0.5"" Kerdi Panel",,,ASHS - Schluter
N0000250NA3933N,7N0000-250.NA3933N,Kerdi Membrane 33',,,ASHS - Schluter
N0001250NA0533N,7N0001-250.NA0533N,Kerdi Band 33',,,ASHS - Schluter
N0002250NA0005N,7N0002-250.NA0005N,Kerdi Seal 0.5,,,ASHS - Schluter
N0003250NA0075N,7N0003-250.NA0075N,Kerdi Seal 0.75,,,ASHS - Schluter
N0004350NA4838N,7N0004-350.NA4838N,Kerdi Board Kit Shower,,,ASHS - Schluter
N1000250NA0125N,7N1000-250.NA0125N,Kerdi ZT Washer 100,,,ASHS - Schluter
N1001250NA0002N,7N1001-250.NA0002N,Kerdi ZS Screws 100,,,ASHS - Schluter
N1002350NA1625N,7N1002-350.NA1625N,Kerdi ZT ZS Washer & Screws Kit,,,ASHS - Schluter
N1003250NA4148N,7N1003-250.NA4148N,Kerdi-Board Reinforcement tape,,,ASHS - Schluter
N1004250NA0005N,7N1004-250.NA0005N,Kerdi-Board double sided tape,,,ASHS - Schluter
SCHLUTER TRIM,,,,,
7T0110250CH312O,7T0110-250.CH3125O,Aluminum Corner Trim CH Jolly,,,ASHS - Schluter
7T0111250BN312O,7T0111-250.BN3125O,Aluminum Corner Trim BN Jolly,,,ASHS - Schluter
7T0112250LB312O,7T0112-250.LB3125O,Aluminum Corner Trim LB Jolly,,,ASHS - Schluter
T0113250MB3125O,7T0113-250.MB3125O,Aluminum Corner Trim MB Jolly,,,ASHS - Schluter
T0114250WH3125O,7T0114-250.WH3125O,Aluminum Corner Trim WH Jolly,,,ASHS - Schluter
T0200250CH3125O,7T0200-250.CH3125O,Aluminum Corner Trim CH Rondec,,,ASHS - Schluter
T0201250BN3125O,7T0201-250.BN3125O,Aluminum Corner Trim BN Rondec,,,ASHS - Schluter
T0202250LB3125O,7T0202-250.LB3125O,Aluminum Corner Trim LB Rondec,,,ASHS - Schluter
T0203250MB3125O,7T0203-250.MB3125O,Aluminum Corner Trim MB Rondec,,,ASHS - Schluter
T0204250WH3125O,7T0204-250.WH3125O,Aluminum Corner Trim WH Rondec,,,ASHS - Schluter
T0205250CH3125O,7T0205-250.CH3125O,Aluminum 90 Outside Corner Chrome,,,ASHS - Schluter
T0206250BN3125O,7T0206-250.BN3125O,Aluminum 90 Outside Corner Nickel,,,ASHS - Schluter
T0207250LB3125O,7T0207-250.LB3125O,Aluminum 90 Outside Corner Bronze,,,ASHS - Schluter
T0208250MB3125O,7T0208-250.MB3125O,Aluminum 90 Outside Corner Black,,,ASHS - Schluter
T0209250WH3125O,7T0209-250.WH3125O,Aluminum 90 Outside Corner White,,,ASHS - Schluter
T0226250CH0098N,7T0226-250.CH0098N,Rondec Step CH,,,ASHS - Schluter
T0227250BN0098N,7T0227-250.BN0098N,Rondec Step BN,,,ASHS - Schluter
T0228250LB0098N,7T0228-250.LB0098N,Rondec Step LB,,,ASHS - Schluter
SCHLUTER CORNER CONNECTORS,,,,,
T0210250CH3125O,7T0210-250.CH3125O,Aluminum 90 2 Leg Outside Corner Chrome,,,ASHS - Schluter
T0211250BN3125O,7T0211-250.BN3125O,Aluminum 90 2 Leg Outside Corner Nickel,,,ASHS - Schluter
T0212250LB3125O,7T0212-250.LB3125O,Aluminum 90 2 Leg Outside Corner Bronze,,,ASHS - Schluter
T0213250MB3125O,7T0213-250.MB3125O,Aluminum 90 2 Leg Outside Corner Black,,,ASHS - Schluter
T0214250CH3125I,7T0214-250.CH3125I,Aluminum 90 Inside Corner Chrome,,,ASHS - Schluter
T0215250BN3125I,7T0215-250.BN3125I,Aluminum 90 Inside Corner Nickel,,,ASHS - Schluter
T0216250LB3125I,7T0216-250.LB3125I,Aluminum 90 Inside Corner Bronze,,,ASHS - Schluter
T0217250MB3125I,7T0217-250.MB3125I,Aluminum 90 Inside Corner Black,,,ASHS - Schluter
T0218250WH3125I,7T0218-250.WH3125I,Aluminum 90 Inside Corner White,,,ASHS - Schluter
T0219250CH3125I,7T0219-250.CH3125I,Aluminum 90 2 Leg Inside Corner Chrome,,,ASHS - Schluter
T0220250BN3125I,7T0220-250.BN3125I,Aluminum 90 2 Leg Inside Corner Nickel,,,ASHS - Schluter
T0221250LB3125I,7T0221-250.LB3125I,Aluminum 90 2 Leg Inside Corner Bronze,,,ASHS - Schluter
T0222250MB3125I,7T0222-250.MB3125I,Aluminum 90 2 Leg Inside Corner Black,,,ASHS - Schluter
ACRYLIC CEILING PANELS & TAPE,,,,,
7U0000220WH4762,7U0000-220.WH4762N,Acrylic Ceiling Panel White,,,ASHS
7U0001220LN4762,7U0001-220.LN4762N,Acrylic Ceiling Panel Linen,,,ASHS
7U0004220RS4762,7U0004-220.RS4762N,Acrylic Ceiling Panel Roman Stone,,,ASHS
7U0005220SV4762,7U0005-220.SV4762N,Acrylic Ceiling Panel Silver Vein,,,ASHS
7U0008220VM4762,7U0008-220.VM4762N,Acrylic Ceiling Panel Vienna Mist,,,ASHS
7A1000268NA0240,7A1000-268.NA0240N,Black Butyl Tape Rolls,,,ASHS
ACRYLIC WALLS & TRIM,,,,,
ACRYLIC SMOOTH WALLS,,,,,
W0012221RS6298C,7W0012-221.RS6298C,"60"" x 96"" Flat Acrylic Wall Roman Stone",,,ASHS
W0013221SV6298C,7W0013-221.SV6298C,"60"" x 96"" Flat Acrylic Wall Silver Vein",,,ASHS
W0014221TS6298C,7W0014-221.TS6298C,"60"" x 96"" Flat Acrylic Wall Tibur Stone",,,ASHS
ACRYTILE WALLS,,,,,
W2001235WH6298C,7W2001-235.WH6298C,"60"" x 96"" Acrytile Wall Subway White",,,ASHS
ACRYLIC TRIM,,,,,
7T2000221WH0398,7T2000-221.WH0398N,Batten Strip 3X98 - Arctic White,,,ASHS
7T2003221RS0398,7T2003-221.RS0398N,Batten Strip 3x98 - Roman Stone,,,ASHS
7T2004221LN0398,7T2004-221.LN0398N,Batten Strip 3X98 - Sahara Creme,,,ASHS
7T2005221SV0398,7T2005-221.SV0398N,Batten Strip 3x98 - Silver Vein,,,ASHS
7T2006221TS0398,7T2006-221.TS0398N,Batten Strip 3x98 - Tibur Stone,,,ASHS
7T2008221VM0398,7T2008-221.VM0398N,Batten Strip 3x98 - Vienna Mist,,,1 in stock as of 10/20. Out of stock until  early Dec 2025
T5000220WH0298O,7T5000-220.WH0298O,Outside Corner Trim 98 - Arctic White,,,ASHS
T5003220RS0298O,7T5003-220.RS0298O,Outside Corner Trim 98 - Roman Stone,,,ASHS
T5004220LN0298O,7T5004-220.LN0298O,Outside Corner Trim 98 - Linen,,,ASHS
T5005220SV0298O,7T5005-220.SV0298O,Outside Corner Trim 98 - Silver Vein,,,ASHS
T5006220TS0298O,7T5006-220.TS0298O,Outside Corner Trim 98 - Tibur Stone,,,ASHS
T5008220VM0298O,7T5008-220.VM0298O,Outside Corner Trim 98 - Vienna Mist,,,ASHS
SOLID SURFACE WALLS & TRIM,,,,,
LEGACY SUBWAY WALLS,,,,,
7W4100245GB6096,7W4100-245.GB6096N,SS Back Wall 60x96 Grey Garden Subway,,,Trumbull
7W4103245WV6096,7W4103-245.WV6096N,SS Back Wall 60x96 White Reef Subway,,,Trumbull
7W4106245BM6096,7W4106-245.BM6096N,SS Back Wall 60x96 Bitusa Marble Subway,,,Trumbull
RESERVE WALLS,,,,,
7W4200241BA6096,7W4200-241.BA6096N,SS Back Wall 60x96 Camden,,,Trumbull
7W4203241SR6096,7W4203-241.SR6096N,SS Back Wall 60x96 Serenade,,,Trumbull
7W4206241BO6096,7W4206-241.BO6096N,SS Back Wall 60x96 Thunder Oak,,,Trumbull
LEGACY SMOOTH WALLS,,,,,
7W4215241GG6096,7W4215-241.GG6096V,"60"" wall panel - Grey Garden Smooth",,,Trumbull
7W4218241WR6096,7W4218-241.WR6096V,"60"" wall panel - White Reef Smooth",,,Trumbull
7W4221241BM6096,7W4221-241.BM6096V,"60"" wall panel - Bitusa Marble Smooth",,,Trumbull
SOLID SURFACE WHITE WALL,,,,,
7W4702245WH3696,7W4702-245.WH3696N,"SOLID SURFACE SUBWAY WALL 36"" X 96""",,,2
,7T3211-240.WH4848N,"48"" Window Trim Kit 1001 WH",,,Make sure to use this item for Legacy white SS walls
,7T7111-240.WH6036N,Pencil Trim Kit 1001 White,,,Trumbull
,7T5711-240.WH0298N,Edge Trim 1001 White,,,Trumbull
,7T5511-240.WH0296N,Outside Corner Molding 1001 WH,,,Trumbull
,7C6011-240.WH0808N,SS Corner Shelf 1001 White,,,Trumbull
,7T5611-240.WH0296N,Over-tile trim 1001 WH,,,Trumbull
,7T2211-240.WH0296N,Batten Molding 1001 WH,,,Trumbull
SOLID SURFACE PENCIL TRIM,,,,,
7T7000340GB6036,7T7000-340.GB6036N,Pencil Trim Kit - Grey Garden,,,Trumbull
7T7001340WR6036,7T7001-340.WR6036N,Pencil Trim Kit - White Reef,,,Trumbull
7T7002340BM6036,7T7002-340.BM6036N,Pencil Trim Kit - Bitusa Marble,,,Trumbull
7T7009340CE6036,7T7009-340.CE6036N,Pencil Trim Kit- Cameo,,,Trumbull
T7010340WH6036N,7T7010-340.WH6036N,"Pencil Trim Kit 60"" White",,,Trumbull
SOLID SURFACE TRIM,,,,,
T5500240WH0296O,7T5500-240.WH0296O,Outside Corner Molding WH,,,Trumbull
T5502240CE0296O,7T5502-240.CE0296O,Outside Corner Molding Cameo,,,Trumbull
T5503240GG0296O,7T5503-240.GG0296O,Outside Corner Molding Grey Beach,,,Trumbull
T5504240WR0296O,7T5504-240.WR0296O,Outside Corner Molding White Venito,,,Trumbull
T5505240BM0296O,7T5505-240.BM0296O,Outside Corner Molding Biscotti Marble,,,Trumbull
7T5700240WH0298,7T5700-240.WH0298O,Edge Trim White,,,Trumbull
7T5701240GG0298,7T5701-240.GG0298O,Edge Trim Grey Garden,,,Trumbull
7T5702240CE0298,7T5702-240.CE0298O,Edge Trim Cameo,,,Trumbull
7T5707240WR0298,7T5707-240.WR0298O,Edge Trim White Reef,,,Trumbull
7T5708240BM0298,7T5708-240.BM0298O,Edge Trim Bitusa Marble,,,Trumbull
7T2200240WH0296,7T2200-240.WH0296N,Batten Molding White,,,Trumbull
7T2201240BC0296,7T2201-240.BC0296N,Batten Molding Biscuit,,,Trumbull
7T2202240CE0296,7T2202-240.CE0296N,Batten Molding Cameo,,,Trumbull
7T2203240GG0296,7T2203-240.GG0296N,Batten Molding Grey Garden,,,Trumbull
7T2204240WR0296,7T2204-240.WR0296N,Batten Molding White Reef,,,Trumbull
7T2205240BM0296,7T2205-240.BM0296N,Batten Molding Biscotti Marble,,,Trumbull
T5600240WH0296O,7T5600-240.WH0296O,Over-tile trim White,,,Trumbull
T5602240CE0296O,7T5602-240.CE0296O,Over-tile trim Cameo,,,Trumbull
T5603240GG0296O,7T5603-240.GG0296O,Over-tile trim Grey Beach,,,Trumbull
T5604240WR0296O,7T5604-240.WR0296O,Over-tile trim White Venito,,,Trumbull
T5605240BM0296O,7T5605-240.BM0296O,Over-tile trim Biscotti Marble,,,Trumbull
SOLID SURFACE WINDOW KITS,,,,,
7T3200240WH4848,7T3200-240.WH4848N,"48"" Window Trim Kit White",,,NEVER USE THIS WITH WHITE SOLID SURACE WALLS (See Line 544)
7T3204240BM4848,7T3204-240.BM4848N,"48"" Window Trim Kit Bitusa Marble",,,Trumbull
7T3210299NA9999,7T3210-299.NA9999N,WINDOW KIT CUSTOM,,,
MOMENT WALL & TRIM,,,,,
MOMENT WALLS,,,,,
MOMENT WINDOW KITS,,,,,
T3300241WH0854N,7T3300-241.WH0854N,Window Sill White,,,ASHS
T3301241LN0854N,7T3301-241.LN0854N,Window Sill Linen,,,ASHS
"MOMENT TRIM- NOTE ONLY 90"" IN LENGTH",,,,,
T5800250ES0294O,7T5800-250.ES0294O,Empire Stone J Trim,,,ASHS - ACP
T5801250CO0294O,7T5801-250.CO0294O,Colosseum J Trim,,,ASHS - ACP
T5802250PM0294O,7T5802-250.PM0294O,Pisa Marble J Trim,,,ASHS - ACP
T5803250MH0294O,7T5803-250.MH0294O,Mining House J Trim,,,ASHS - ACP
T5804250ES0294O,1021 Groves Pass SE,Empire Stone L Trim,,,ASHS - ACP
T5805250CO0294O,7T5805-250.CO0294O,Colosseum L Trim,,,ASHS - ACP
T5806250PM0294O,7T5806-250.PM0294O,Pisa Marble L Trim,,,ASHS - ACP
T5807250MH0294O,7T5807-250.MH0294O,Mining House L Trim,,,ASHS - ACP
SILICONE/ADHESIVE/CORNER REINFORCEMENT,,,,,
SILICONE,,,,,
7X0003270WH0012,7X0003-270.WH0012N,TRANS WHITE- SILICONE,,,ASHS - Silco
7X0004270TG0012,7X0004-270.TG0012N,Silicone GR Trans Gray,,,ASHS - Silco
7X1000260WH0012,7X1000-260.WH0012N,Silicone White,,,ASHS - Silco
7X1002260RS0012,7X1002-260.RS0012N,Silicone Roman Stone,,,ASHS - Silco
7X1004260TS0012,7X1004-260.TS0012N,Silicone Linen,,,ASHS - Silco
7X1005270CL0010,7X1005-270.CL0010N,Clear Silicone,,,ASHS - Silco
7X1006OG0012,7X1006-OG0012N,Silicone Mrbl  Opaque Grey,,,ASHS - Silco
ADHESIVE,,,,,
7A0001260CL0020,7A0001-260.CL0020N,Sausage Adhesive,,,ASHS - Silco
CORNER REINFORCEMENTS,,,,,
7N0100-0296I,7N0100-0296I,Corner Reinforcements,,,?
TRIM KITS/ROUGH IN/HANDSHOWERS,,,,,
TRIM KITS,,,,,
TU018508.002,TU018508.002,EDGEMERE TRIM KIT- CHROME,,,Townsend in Brushed Nickel                         TU353508.295
TU018508.295,TU018508.295,EDGEMERE TRIM KIT-BN,,,
TU018508.243,TU018508.243,Edgemere Tub/ Shower - MB,,,
TU018508.278,TU018508.278,EDGEMERE TUB/SHOWER- LB,,,
ROUGH IN,,,,,
RU101,RU101,750SH VALVE ROUGH W UNIVERSAL,,,** Do Not Use **  Use the RU101SS
RU101SS,RU101SS,FLASH VALVE ROUGH W UNIVERSAL W SS,,,All BRL Jobs are to have the RU101SS
RU107SS,RU107SS,Flash Valve Rough - Pex Option,,,** Do Not Use **  Use the RU101SS
RU108SS,RU108SS,FLASH VALVE-COLD EXPANSIO,,,** Do Not Use **  Use the RU101SS
HAND SHOWERS,,,,,
REPAIR KITS,,,,,
7Y4000250WH0015,7Y4000-250.WH0015N,Enamel Repair Kit .011 White,,,
7Y4001250LN0015,7Y4001-250.LN0015N,Enamel Repair Kit .222 Linen,,,
0709000110A,070900-0110A,ENAMEL STEEL TOUCH-UP PAINT,,,
,,Custom Barn Style Shower Door: Basco,,,
ROLH-935-66X76XPWI,7G3102-299.MB6676N,"Rolaire Custom 62"" - 66"" MB",,,mto
ROLH-935-72X76XPWI,7G3103-299.CH7276N,"Rolaire Custom 68"" - 72"" CH",,,mto
ROLH-935-72X76XPPM,7G3105-299.MB7276N,"Rolaire Custom 68"" - 72"" MB",,,mto
RTLA-905-56X76XPOR,7G2603-290.LB5476N,"54"" Rotolo 52"" - 56"" LB",,,mts
,,MTO=  Made  To Order,,,
,,Rolaire Barn Door= Single Bypass Panel with 1 stationary panel,,,
35117000,29423000,SB VALVE AND TRIM- IN CURRENT USE,,,
,7T3300-241.WH0854N,LEDGE CAP- WHITE,,,
ONYX,7M1002-249.NA9999N,LEDGE CAP,,,
ONYX,7T2300-241.WH0660N,BRL BACKSHELF- ACT- 60 X 8 X 5/8,,,FG
SUB_ProductID,OLD_ProductID,OLD_LongDescr,,,SUB_LongDescr
USE HIGHLIGHTED DATED 12-5,,,,,
TRIMMABLE BASE,,Trimslate Bases require an additional 6 tubes of adhesive,,,
7B5121-240.WH6736C,67X36 CENTER DRAIN TRIMMABLE WHITE,Stainless Steel Trench Drain,,,"4.25"" W x 25.5"" L"
7B5124-240.WH6736N,67X36 END DRAIN TRIMMABLE WHITE,SMC Drain Cover,,,"4.625"" W x 7.75"" L"
7B5201-240.WH0460N,"60"" Threshold",,,,
7B5204-240.WH0480N,"80"" Threshold",,,,
7B5143-240.WH6048C,60X48 CENTER DRAIN TRIMMABLE WHITE,7B5143-240.WH6048C,,,"4.25"" W x 25.5"" L"
,P41-0205 HW VALVE,,,,
,P41-0204 CW VALVE,,,,
,P41-0201 DIV VALVE ASSY,,,,
,P41-0328 TUB FILLER,,,,
,P41-0322 HAND SHWR HOSE ASSY,,,,
,P41-0320 HAND SHOWER,,,,
,P41-0338 HAND SHWR DECK MOUNT ASSY,,,,
,"Trimslate 60"" x 31 1/2"" LH",7B5100-240.WH6032L,,,
,"60"" THRESHOLD  WHITE",7B5201-240.WH0460N,,,
,Additional Trimslate Sizes at Trumbull:,,,,
,51 x 40 Center Drain,,,,
,60 x 40 Center Drain,,,,
,,MaxCost,,,
,,Max Cost,,,
,,,,,L- Bars Chrome
,,,,,L- Bars Stainless Steel
,,,,,L- Bars Matte Black
,,,,,Padded Seats
,,,,,Slide Bar
,,,,,Rough- In
FG,RU531,RU531,,,FLASH 2H W DIVERTER (3-WAY DISCRETE)
,,,,,Faucet Trim Kit - Townsend
FG,1660245.002,1660245.002,,,TOWNSEND SHOWER ARM AND FLANGE
FG,1660245.295,1660245.295,,,TOWNSEND SHOWER ARM AND FLANGE
FG,1660245.243,1660245.243,,,TOWNSEND SHOWER ARM AND FLANGE
,,,,,Faucet Trim Kit - Studio
FG,1660240.002,1660240.002,,,"5"" Wall mount Showerhead arm"
FG,1660240.243,1660240.243,,,"5"" Wall mount Showerhead arm"
FG,1660240.295,1660240.295,,,"5"" Wall mount Showerhead arm"
,,INSERT NEW PART NUMBERS BELOW,,,
7B5201-240.WH0460N,"60"" Threshold",,,,
7B5141-240.WH4836C,48X35-1/2 CNTR DRAIN TRIMMABLE WHITE,7B5141-240.WH4836C,,,
